month,selected_date,target_day,day_used,usd_php,selection,source
2016-05,2016-05-20,20,20,46.8550,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-06,2016-06-20,20,20,46.4180,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-07,2016-07-20,20,20,46.8440,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-08,2016-08-19,20,19,46.3060,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-09,2016-09-20,20,20,47.8680,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-10,2016-10-20,20,20,48.1830,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-11,2016-11-18,20,18,49.4190,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2016-12,2016-12-20,20,20,49.9300,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-01,2017-01-20,20,20,49.9530,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-02,2017-02-20,20,20,49.9870,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-03,2017-03-20,20,20,50.1540,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-04,2017-04-20,20,20,49.7090,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-05,2017-05-19,20,19,49.8340,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-06,2017-06-20,20,20,49.8590,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-07,2017-07-20,20,20,50.8230,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-08,2017-08-18,20,18,51.3010,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-09,2017-09-20,20,20,51.0360,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-10,2017-10-20,20,20,51.4630,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-11,2017-11-20,20,20,50.8160,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2017-12,2017-12-20,20,20,50.4620,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2018-01,2018-01-19,20,19,50.7550,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2018-02,2018-02-20,20,20,52.3540,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2018-03,2018-03-20,20,20,52.0410,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
